Run,Loc_Score,Angle_Score,stddev,gamma,d_long,d_short,k1,k2,k3,k4
1,7.97378,0.35904,0.1625204007876065,0.7413108934621033,1.458340159203112,0.23724187297596777,0.26921214029249957,0.2423456776342014,0.4382260297841534,0.3879731249339552
2,7.98361,0.31922,0.2900307376806437,0.037063015060485496,1.317384241389124,0.2245800080417106,0.2823589431335104,0.08598312082325489,0.12333007128648156,0.13452819611398087
3,7.9928,0.33517,0.20764268445951423,0.4106751671098399,1.4505096279215064,0.27238892499645134,0.29596749806742756,0.2691504195662829,0.3130732852824822,0.4470959715958538
4,8.04172,0.33377,0.0778800033854667,0.449269619289079,1.1604282926639333,0.3059969855573309,0.35871001891537085,0.2879451480819063,0.0968932960830396,0.0187003827604931
5,7.95976,0.35856,0.1881944164395077,0.44817667744667694,1.4093870578764345,0.24511899601448295,0.30747215931145966,0.4001219392911431,0.0610685794208534,0.20141822106308538
6,7.96267,0.35558,0.07940657509810602,0.047768109255363365,1.3055180436008018,0.2241821870259988,0.3565474388212341,0.3587333495182113,0.17467799486173544,0.18651895922822603
7,7.96237,0.31273,0.10447488244210498,0.5498001388859132,1.4884004156784243,0.2005236815607119,0.19245829528393718,0.1881350497385387,0.3035929923304217,0.03412417730425436
8,7.97341,0.32115,0.16313381333502422,0.13751100074281308,1.02463939908847,0.4454098535560106,0.4659020025734922,0.12797068569108516,0.3137278915320757,0.37170500805155704
9,8.01024,0.33243,0.07343516508124805,0.4759283391399594,1.3451993414566235,0.4790235239909358,0.37177472783933924,0.3439860647460094,0.08146571813578869,0.2868774202203156
10,7.95206,0.35397,0.25645100551528055,0.7070032721043671,1.071752167535209,0.44403537599658977,0.1719273311965272,0.09593281008199836,0.42743130909821997,0.09172298506757663
11,8.00052,0.34887,0.05268328498987582,0.19876366716711968,1.1990565964103996,0.30318378463393825,0.15293305668480348,0.43406398632245624,0.39135591975640976,0.35400959885032074
12,8.00767,0.32966,0.2565071932406631,0.3001310677632577,1.3993110126093788,0.4477250800293286,0.41453704331529034,0.23846431909584606,0.025920964943347564,0.32443568555823366
13,7.98126,0.35375,0.10948830868933745,0.22696553526201396,1.2144573155335663,0.3061622143131042,0.06686660473413777,0.13384411387777273,0.22936782903485997,0.18410641965252186
14,7.98037,0.34159,0.11465612809071343,0.14703825987834582,1.24954710974313,0.38406661975846024,0.15683127477484105,0.3530809968888654,0.2061708938140925,0.2020657296217064
15,8.03039,0.33049,0.2786567512664447,0.5677939733883819,1.433791618273295,0.41354031981257383,0.17716066065119399,0.48241485095846764,0.2210016513316795,0.1467406426368907
16,7.97763,0.35328,0.18440873819427686,0.09008110622583869,1.287252793586702,0.47467640309494086,0.4939401225088638,0.1423765071939485,0.07911286530891713,0.23511736964472527
17,8.02213,0.33795,0.25263886791445206,0.9355190473733743,1.019661695851724,0.265878802669883,0.11081898621345873,0.29322021648381397,0.08751118813100398,0.24393705142833513
18,7.98553,0.32902,0.24583042756114556,0.18173176372109903,1.2544140846021745,0.26673920755393876,0.441484211147214,0.3577500227478661,0.3054707207421045,0.4894847024765
19,7.9779,0.36848,0.11877710536708079,0.8963930063007638,1.2786752826933836,0.24067548386900933,0.10217640280786743,0.44602325733877185,0.49638315574162445,0.11799136018182209
20,8.02588,0.32123,0.05550344934920284,0.2377071576984153,1.2263852483750743,0.4999299067161944,0.11843272403908198,0.14998043294544744,0.4606765291980451,0.01177051451534474
21,8.00085,0.34668,0.11671767568622207,0.5243491082413706,1.4121741651556916,0.46717814455066037,0.40732909836506337,0.10626742044432311,0.1588650442422212,0.4526149836945449
22,7.99347,0.31895,0.18450130105392695,0.38488543585403,1.179989234376223,0.24939648257811114,0.3553858344010518,0.3778268215987046,0.3623250824486779,0.33658813701885215
23,8.07206,0.3551,0.15154986964645015,0.4446783346710656,1.4148533493536553,0.23014778829820917,0.4365614954167097,0.3944604935196773,0.20058318349426343,0.16434931934879268
24,7.9636,0.35278,0.19403384207403926,0.4561602138544605,1.3717701069405774,0.32769058277606655,0.09614533148858788,0.0954534970356447,0.23534795115368315,0.08375780973667658
25,8.03444,0.3543,0.19918135813476398,0.5986569227858154,1.1954489089133158,0.3847700206572894,0.2037199907319166,0.205190450506192,0.278317924954874,0.10679375895874793
26,7.97981,0.35134,0.14751982094129842,0.16539450750747434,1.4133332758457,0.47080181882467487,0.4833007621475882,0.06887002339343087,0.4153217796991865,0.3779517311068106
27,8.01218,0.347,0.21231305085522909,0.6824990883613304,1.2275619894935823,0.38019343092847757,0.253422213131472,0.20497234414670948,0.153725011048397,0.09908352811339766
28,8.00541,0.32618,0.05119758097772968,0.7011542984060612,1.2719188161056325,0.20310536434867213,0.3532870228372701,0.24938232986287318,0.2982424671858477,0.4134650694303341
29,8.00614,0.31474,0.0636423836254371,0.32981130348446785,1.3100645640157176,0.21702723038565291,0.05038417468510711,0.26348285511887026,0.1422277594042116,0.1392061384698245
30,7.98999,0.33744,0.2541694772591793,0.6079640671875173,1.2275481494334082,0.460537215188204,0.47344060031952695,0.4377387604827517,0.3939915230285039,0.2952103579538964
31,8.01108,0.34,0.10749564341759993,0.9177131542443605,1.0587171713916272,0.26853424540055143,0.26405583579516057,0.21058115920627504,0.03872137155527732,0.47597852965892995
32,7.97625,0.33105,0.13262920269333156,0.9687121606299516,1.217110473287079,0.3762444538220505,0.45741928403327087,0.40424113464101463,0.4118221275879075,0.37788126288073187
33,8.02465,0.36926,0.09565032061321048,0.11966198674454014,1.422534585829344,0.2809649492772147,0.27011425436430847,0.24155864082867537,0.29164981497348064,0.027731142212064873
34,7.99407,0.34167,0.15542500765773393,0.6932638778085999,1.22573391529339,0.20662975418123586,0.38053492151971,0.15866676722564174,0.3151475981163878,0.08501268740183576
35,8.01108,0.33973,0.23222402569051956,0.2745546231957721,1.0072058390092362,0.2689080291000017,0.09138718388120434,0.14224876601666758,0.3847983622835797,0.017923801001573883
36,7.98486,0.33887,0.1136480291126684,0.29987884280813953,1.3924755823303592,0.4659891475774835,0.19648200108603295,0.20928702255158416,0.2673741833091961,0.4159068143562323
37,7.98154,0.3446,0.0717813590860708,0.5443682820889568,1.0507683925517934,0.3548290213227922,0.1394964728549475,0.36020689397949524,0.35778170089546973,0.44120519453933843
38,8.02159,0.35279,0.07433192809559536,0.7981885699583272,1.2220150270357488,0.2644733512080961,0.058947387523777206,0.46152898675346954,0.09157406460994844,0.40710784802140615
39,7.94705,0.31895,0.26525872875547135,0.3492867500116608,1.2521108820735178,0.41635452084803315,0.4685368125762009,0.18840217545723306,0.17756145935364365,0.3167835550602604
40,8.01024,0.34468,0.1330914858357505,0.13410646566794446,1.305860334245074,0.2629978495830728,0.48136616599215964,0.23429000594826824,0.08021584368985286,0.3353607594688999
